Open,High,Low,Volume (BTC),Close
3446.65,3448,3424.91,255.83,3424.91
3424.91,3429.99,3400,456.48,3419.99
3415.17,3421,3389,187.08,3410.79
3409.36,3427.03,3399,273.8,3410
3410,3422,3385,355.46,3420
3419.99,3439.88,3415.81,220.09,3430.84
3426,3430.99,3390.1,413.22,3426
3427,3437.28,3398.5,376.55,3413.03
3410,3429.98,3391.41,448.15,3409.35
3409.34,3419,3390.67,316.99,3405.69
3405.69,3420,3400.01,275.74,3419.99
3415.8,3429.96,3403.92,313.67,3419.93
3419.93,3430,3410.78,269.16,3429.99
3430,3490.86,3428.68,980.23,3476
3470.19,3488.44,3455,424.8,3464.39
3464.39,3500,3458.02,931.35,3480.01
3480.01,3492.5,3460,543.3,3475.93
3477.4,3494,3475,395.18,3489
3486,3494,3463.02,460.22,3470.67
3470.67,3493,3468.22,133.09,3492.98
3492.99,3535,3482.29,1324.52,3535
3535,3547,3515.02,564.47,3544.01
3544.93,3550,3520.32,408.23,3526.77
3525.31,3549.94,3520.25,395.22,3535.09
3543,3543,3511,572.86,3533.69
3529.92,3540,3511,278.4,3535.01
3535.1,3546.99,3530.69,181.23,3541.11
3541.11,3543,3528,252.32,3539
3538.93,3573,3528.73,606.05,3573
3563.58,3615,3563.58,517.22,3608.68
3600,3678,3584.85,504.6,3670.2
3671,3705,3619.56,830.36,3645.06
3651.74,3676.09,3625,203.44,3630
3630,3644.26,3586.95,272.78,3600.61
3595,3638.37,3593,100.65,3629.51
3629.51,3666.58,3629.51,98.73,3662.51
3660.16,3720,3635.18,201.15,3719.43
3719.43,3723,3675.5,435.56,3715
3710.54,3788,3710,672.5,3748.49
3748.49,3818,3742.74,673.84,3775
3780,3780,3700,593.45,3735
3738.35,3749,3718.67,419.41,3749
3749,3776,3730,600.51,3762.25
3762.25,3762.4,3719.99,268.02,3758.94
3758.92,3767.81,3695.17,369.59,3733
3733.7,3755.99,3722.04,145.81,3754.99
3746.65,3782,3746.65,258,3776.25
3776.25,3866,3770.19,1159.35,3845.97
3845.97,3934,3810,1470.75,3810.25
3810,3867,3775,791.58,3842.48
3855.5,3897.97,3824,824.83,3856
3862.33,3886.83,3839,469.68,3872
3874.24,3874.32,3725.37,1100.34,3778.38
3779.02,3820,3747.49,489.73,3799.97
3805.58,3843.8,3787,302.76,3838.63
3830.01,3878.57,3812.73,428.61,3855.1
3855.04,3925.7,3855.01,526.87,3924.43
3924,4040,3918.34,1474.61,3997.95
3997.95,4044.66,3939,894.68,4044.66
4035.55,4094,4008.51,745.59,4027.7
4027.83,4085,3971.44,316.95,4055.77
4042.84,4056.81,3955.73,799.32,4018.14
4003.21,4122.52,3995.01,437.21,4120
4120,4150,4089.04,502.52,4134.53
4144.99,4174,4094.31,772.17,4150.23
4150.3,4190,4085.1,998.88,4094.61
4092.38,4092.8,3970,868.74,4085.1
4085.1,4088,3891,1559.49,3966.99
3964.97,3985.53,3841.71,1576.76,3873
3872.71,3999.9,3841.71,831.54,3988.96
3988.96,3992,3943.01,303.26,3984.54
3984.54,4060.1,3965.3,503.97,4033
4023.72,4085.1,4009.36,286.87,4054.09
4054.03,4069.86,3972,554.87,3980
3990.36,4064,3990.36,333.13,4045
4037.77,4049.52,3935,496.53,3961.43
3957.04,4016,3954,200.34,3994.67
3994.67,4111,3992.95,469.51,4100.01
4100,4112.97,4074.57,227.48,4090
4090,4094.5,4037.7,208.56,4053.87
4053.87,4085.1,4037.76,150.52,4067.48
4055.52,4085.1,4055.52,69.08,4060.36
4069.99,4080.94,4047,170.37,4063.51
4064.76,4066.43,3964.96,395.57,3976.06
3976.06,4033,3967.65,183.05,4029.89
4029.23,4043.94,4005.06,153.34,4005.2
4005.05,4080,4005.05,292.16,4078.18
4074.14,4085.1,4047.9,215.04,4063
4064,4149.49,4062.33,511.37,4126.01
4126.01,4210,4113.1,864.66,4199.89
4200,4228,4167.21,686.99,4180.14
4180,4190.96,4120.48,623.45,4148.28
4137,4200,4112.01,614.84,4194.88
4194.88,4250.97,4175.15,1293.04,4229.25
4239.9,4293.47,4239.9,1155.23,4274
4273.99,4299,4182.78,1322.96,4242.67
4246.06,4293.48,4222.95,571.65,4283.06
4277,4328,4226.08,1094.62,4279.97
4280,4288,4242.41,637.78,4284.89
4283.28,4284.99,4194.7,843.54,4212.99
4212.99,4268.06,4210.53,592.27,4256.61
4258.98,4293.2,4252.93,497.95,4282.71
4289.5,4289.5,4200,737.59,4254.89
4254,4329.43,4245.04,535.24,4306.23
4320.95,4359.78,4311.47,604.98,4352.87
4340.56,4360,4325.81,379.32,4360
4360,4400,4336.42,1255.23,4370
4370,4400,4362.64,613.71,4380.11
4374.14,4390,4302,717.15,4356.29
4337.13,4378.84,4333.41,304.11,4350
4350,4351.69,4173.99,1238.59,4227.36
4232.43,4282.99,4212.52,612.36,4282
4280,4325.05,4212,821.94,4221.28
4221.29,4251.74,4085.1,1530.19,4129.99
4129.88,4129.89,3925.7,2546.58,4064.83
4064.72,4141.13,3998.22,1030.12,4120
4126.56,4146.79,4038.6,863.01,4057.21
4069,4083.73,3946.73,1429.21,3968.97
3962.07,3969,3800,3369.02,3914.93
3915,4039.97,3871.88,1377.95,3985.34
3985.34,4075,3935,2006.11,4062
4062.01,4084,4036.75,830.99,4084
4085,4156,4044.66,1117.22,4068.75
4073.53,4100,4038,442.9,4044.57
4044.35,4070,3979,690.82,4069.99
4070,4159.23,4053.64,742.67,4129.87
4129.8,4198.55,4125.23,769.04,4168.22
4179.76,4183.57,4130.34,222.51,4155.67
4154.99,4197.11,4110.5,440.15,4142.12
4139.47,4156.77,4083,390.03,4150.98
4150.61,4150.61,4024.58,458.39,4039.18
4039.18,4083.85,4039.18,255.88,4069.46
4065.07,4072.49,4012,254.24,4046.25
4037.01,4039.67,3950,489.68,3980.51
3970.07,4044.66,3926.06,494.99,4043
4042.99,4108,4035.48,432.51,4056.99
4061.28,4165,4037,676.59,4164.15
4161.04,4164.99,4101.1,303.66,4144.84
4134.07,4160,4090.12,228.9,4090.12
4090.12,4094,4045,346.79,4074.85
4074.85,4119.91,4020,435.65,4105.97
4108.84,4125.95,4074.87,443.02,4114.99
4114.99,4121.97,4094.98,232.9,4114.02
4114.99,4321.69,4111.87,1872.23,4308.63
4308.63,4364,4250.97,1214.18,4299.47
4294.95,4318.25,4265.1,470.57,4275.71
4275.7,4311.96,4229.52,1054.71,4308.59
4305,4316.33,4280,450.32,4299
4299,4345,4295.07,597.37,4340.02
4340.74,4350,4301,307.74,4310
4310,4328.89,4284,451.13,4328.88
4328.89,4379.78,4310.07,622,4378.84
4361.99,4385,4336.42,472.63,4347.97
4347.98,4375.19,4300,291.51,4321.74
4321.75,4329.99,4293.49,181.23,4323
4323,4323,4208.88,551.2,4279.35
4279.35,4314.77,4231.43,251.58,4310.76
4293.64,4324.79,4281,176.66,4320.51
4310.02,4328.78,4297.76,119.46,4314.08
4299.97,4348.18,4277.82,367.17,4348.11
4348.4,4376.81,4332.2,332.16,4362.05
4350.01,4460,4350.01,1379.73,4455
4459.03,4467.82,4381,645.23,4457.61
4457.49,4480,4401.11,776.57,4412.98
4405,4442.99,4402,398.04,4430
4426.49,4467.82,4420,394.51,4467.82
4467.82,4470,4430.1,469.4,4453.6
4453.59,4465.99,4300.58,1024.21,4350
4349.99,4361.51,4255,1429.95,4354.49
4354.5,4354.5,4258.99,1086.44,4259
4258.99,4288.99,4205.5,1457.11,4241.38
4241.26,4318.23,4167.21,860.63,4306.4
4306.4,4336.42,4239.97,652.65,4329.42
4329.39,4350,4305.6,501.02,4316.7
4310.39,4336.42,4277.4,415.07,4317.64
4300.49,4329.99,4250.97,339,4276.5
4260.47,4310.5,4245.01,488.81,4245.01
4252.03,4270.11,4179,881.94,4250.96
4245,4274,4229.19,270.56,4269.89
4272.99,4293.48,4255,302.24,4258.92
4263.11,4287.03,4225.02,397.66,4269.53
4269.53,4325,4266,319.66,4296.85
4296.88,4324.81,4265.01,219.33,4287.89
4280.79,4313.32,4265.14,300.42,4296.72
4296.72,4309.98,4241,431.47,4283.11
4284,4305,4280,220.47,4303.97
4295.16,4368,4295.16,679.69,4346.98
4346.96,4348,4300.1,307.6,4308.99
4308.99,4340,4293.48,373.58,4301.72
4301.71,4310.12,4245,859.38,4283.91
4280,4292,4208.88,1274.49,4246.01
4246,4253.83,4208.88,857.4,4224
4224,4269.3,4222.16,678.49,4247.54
4247.51,4247.52,4125,1461.09,4187.88
4187.88,4197.41,4090,1077.18,4090
4089,4119.87,3990.32,2715.92,4119.67
